"Species","variable","value","Onto","Model"
"ETMOSPI_juvenile","Depth",0.362875123194119,"juvenile","Presence-Absence"
"ETMOSPI_adult","Depth",0.443455014254038,"adult","Presence-Absence"
"GALUMEL_juvenile","Depth",0.576312433388673,"juvenile","Presence-Absence"
"GALUMEL_adult","Depth",0.432763700575485,"adult","Presence-Absence"
"HELIDAC_juvenile","Depth",0.363015621097416,"juvenile","Presence-Absence"
"HELIDAC_adult","Depth",0.251947518542707,"adult","Presence-Absence"
"LOPHBUD_juvenile","Depth",0.115401884436278,"juvenile","Presence-Absence"
"LOPHBUD_adult","Depth",0.0805957198804835,"adult","Presence-Absence"
"PAGEBOG_juvenile","Depth",0.238218730753654,"juvenile","Presence-Absence"
"PAGEBOG_adult","Depth",0.514100532515958,"adult","Presence-Absence"
"PHYIBLE_juvenile","Depth",0.566057043063915,"juvenile","Presence-Absence"
"PHYIBLE_adult","Depth",0.615573475810636,"adult","Presence-Absence"
"TRACTRA_juvenile","Depth",0.499762346673602,"juvenile","Presence-Absence"
"TRACTRA_adult","Depth",0.213655539208458,"adult","Presence-Absence"
"SCYOCAN_juvenile","Depth",0.135681316352333,"juvenile","Presence-Absence"
"SCYOCAN_adult","Depth",0.079762145463931,"adult","Presence-Absence"
"TORPMAR_juvenile","Depth",0.455956107010824,"juvenile","Presence-Absence"
"BOOPBOO_juvenile","Depth",0.303810714937158,"juvenile","Presence-Absence"
"BOOPBOO_adult","Depth",0.3803648059909,"adult","Presence-Absence"
"MERLMER_juvenile","Depth",0.241481426388271,"juvenile","Presence-Absence"
"MERLMER_adult","Depth",0.043114310455142,"adult","Presence-Absence"
"MULLSUR_juvenile","Depth",0.581927272007124,"juvenile","Presence-Absence"
"MULLSUR_adult","Depth",0.389060482003323,"adult","Presence-Absence"
"PAGEACA_juvenile","Depth",0.202531785082304,"juvenile","Presence-Absence"
"PAGEACA_adult","Depth",0.156230883123908,"adult","Presence-Absence"
"SCOMPNE_juvenile","Depth",0.0716470974744061,"juvenile","Presence-Absence"
"SCOMPNE_adult","Depth",0.0733635499346028,"adult","Presence-Absence"
"MULLBAR_juvenile","Depth",0.431480591595712,"juvenile","Presence-Absence"
"MULLBAR_adult","Depth",0.364183111245496,"adult","Presence-Absence"
"PAGEERY_juvenile","Depth",0.581691092764671,"juvenile","Presence-Absence"
"PAGEERY_adult","Depth",0.607032822063059,"adult","Presence-Absence"
"SPARPAG_juvenile","Depth",0.435037000982557,"juvenile","Presence-Absence"
"SPARPAG_adult","Depth",0.357796282484117,"adult","Presence-Absence"
"TRIPLAS_juvenile","Depth",0.348582186077749,"juvenile","Presence-Absence"
"TRIPLAS_adult","Depth",0.280378889017892,"adult","Presence-Absence"
"ASPICUC_juvenile","Depth",0.340844181589289,"juvenile","Presence-Absence"
"ASPICUC_adult","Depth",0.233435676946054,"adult","Presence-Absence"
"CITHMAC_juvenile","Depth",0.264187709655676,"juvenile","Presence-Absence"
"CITHMAC_adult","Depth",0.229260063947033,"adult","Presence-Absence"
"TRACMED_juvenile","Depth",0.363450114471707,"juvenile","Presence-Absence"
"TRACMED_adult","Depth",0.364278054336839,"adult","Presence-Absence"
"RAJAOXY_adult","Depth",0.116607015079245,"adult","Presence-Absence"
"MICMPOU_juvenile","Depth",0.293604477824873,"juvenile","Presence-Absence"
"MICMPOU_adult","Depth",0.605141410303632,"adult","Presence-Absence"
"ENGRENC_juvenile","Depth",0.224174053870968,"juvenile","Presence-Absence"
